market_hash_name,currency,current_min_price,suggested_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
PP-Bizon | Forest Leaves (Well-Worn),EUR,,3,,,,,0,,,,,0,2.56,2.56,2.56,2.56,1,2.56,2.56,2.56,2.56,1
Sealed Graffiti | Recoil Galil AR (Desert Amber),EUR,3.99,1.7,,,,,0,,,,,0,,,,,0,1.89,1.89,1.89,1.89,1
P250 | Verdigris (Battle-Scarred),EUR,0.16,0.23,0.14,0.14,0.14,0.14,1,0.11,0.2,0.17,0.19,7,0.11,5,0.34,0.19,34,0.11,5,0.32,0.19,82
StatTrak™ M249 | Warbird (Factory New),EUR,,3.81,,,,,0,,,,,0,,,,,0,3.75,3.75,3.75,3.75,1
SSG 08 | Hand Brake (Minimal Wear),EUR,0.44,0.46,,,,,0,0.33,1.45,0.73,0.54,15,0.32,1.45,0.5,0.42,52,0.32,1.45,0.49,0.44,150
SSG 08 | Death Strike (Factory New),EUR,533.92,601.73,,,,,0,433.33,542.72,503.64,534.86,3,433.33,557.33,517.06,538.79,4,423.39,587.6,505.01,506.21,11
StatTrak™ CZ75-Auto | Tacticat (Factory New),EUR,4.34,4.42,3.59,9.9,6.75,6.74,2,3.37,9.9,5.37,5.19,9,3.37,129.9,10.45,4.73,22,3.36,129.9,6.62,4.5,86
★ StatTrak™ Nomad Knife | Stained (Factory New),EUR,,450.91,,,,,0,324,324,324,324,1,324,324,324,324,1,324,324,324,324,1
Sticker | Fnatic (Holo) | Atlanta 2017,EUR,54,51.13,,,,,0,45,45,45,45,1,45,45,45,45,1,43,56.88,47.3,44.02,8
StatTrak™ Galil AR | Connexion (Factory New),EUR,2.99,3.6,,,,,0,2.77,3.92,3.35,3.34,2,2.35,11.95,3.36,2.97,33,2.3,11.95,3.38,3.17,86
StatTrak™ USP-S | Overgrowth (Battle-Scarred),EUR,40,43.54,,,,,0,,,,,0,,,,,0,105,105,105,105,1
P250 | Muertos (Battle-Scarred),EUR,5.33,6.82,,,,,0,5.25,5.37,5.31,5.31,2,4.18,5.62,5.03,5.25,5,3.74,7,5.3,5.48,14
★ Navaja Knife | Damascus Steel (Factory New),EUR,100,111.8,,,,,0,,,,,0,83.56,116.7,102.16,103.07,6,83.56,133,106,101,21
Souvenir Nova | Predator (Minimal Wear),EUR,1.76,0.6,,,,,0,6.13,6.13,6.13,6.13,1,0.66,6.13,3.4,3.4,2,0.5,6.13,1.16,0.83,19
Sticker | T On Cat,EUR,0.9,0.97,,,,,0,,,,,0,1.38,1.4,1.39,1.39,2,0.71,1.48,1.19,1.29,6
MAC-10 | Button Masher (Well-Worn),EUR,0.25,0.26,,,,,0,0.18,0.21,0.2,0.2,2,0.15,0.26,0.23,0.23,22,0.15,0.31,0.25,0.26,75
Sticker | Keoz (Gold) | Copenhagen 2024,EUR,,2.12,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir MAC-10 | Calf Skin (Well-Worn),EUR,0.15,0.18,,,,,0,,,,,0,0.12,0.14,0.13,0.13,5,0.11,0.53,0.14,0.12,19
Sticker | vice (Gold) | London 2018,EUR,,62.15,,,,,0,,,,,0,,,,,0,,,,,0
★ M9 Bayonet | Lore (Factory New),EUR,2372.95,2959.85,,,,,0,2395.37,2395.37,2395.37,2395.37,1,1989.19,2395.37,2163.22,2083.29,5,1953.07,2521.73,2232.66,2306.45,13
StatTrak™ Tec-9 | Ice Cap (Battle-Scarred),EUR,0.6,0.46,,,,,0,,,,,0,0.48,0.48,0.48,0.48,1,0.41,5.2,1.41,1.04,14
StatTrak™ Negev | Desert-Strike (Well-Worn),EUR,0.48,0.35,0.25,0.25,0.25,0.25,1,0.25,0.25,0.25,0.25,1,0.25,0.25,0.25,0.25,1,0.21,1.2,0.34,0.28,16
★ Stiletto Knife | Forest DDPAT (Factory New),EUR,349,378.03,,,,,0,,,,,0,,,,,0,240.33,240.33,240.33,240.33,1
Sticker | skullz (Holo) | Paris 2023,EUR,,0.25,,,,,0,0.25,0.45,0.37,0.41,3,0.19,0.45,0.32,0.3,6,0.12,0.45,0.3,0.32,19
Sticker | saffee | Antwerp 2022,EUR,0.02,0.03,,,,,0,,,,,0,0.02,0.02,0.02,0.02,5,0.02,0.02,0.02,0.02,6
Austin 2025 Legends Autograph Capsule,EUR,,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
M4A1-S | Mecha Industries (Field-Tested),EUR,26.44,31.38,23.7,35.99,27.86,24.06,7,21.64,39.99,26.83,26,54,19.9,57,26.25,25.56,238,16.22,69,26.84,26.01,669
Sticker | roeJ (Glitter) | Antwerp 2022,EUR,0.15,0.03,,,,,0,,,,,0,,,,,0,0.02,0.03,0.03,0.02,2
★ Hand Wraps | Overprint (Battle-Scarred),EUR,144,144,,,,,0,104.95,187.05,146,146,2,104.95,187.05,150.45,152.06,12,104.95,187.05,144,144.68,34
★ Stiletto Knife | Boreal Forest (Minimal Wear),EUR,229.99,269.06,,,,,0,,,,,0,212.7,241.03,226.87,226.86,2,126.6,241.03,193.89,200.88,13
Desert Eagle | Starcade (Battle-Scarred),EUR,22.1,24.25,,,,,0,20,22,21.21,21.64,3,19.13,22,20.69,20.82,4,18.01,48.45,27.72,22.31,21
Sticker | Magisk (Glitter) | Antwerp 2022,EUR,0.09,0.03,,,,,0,,,,,0,,,,,0,0.02,0.02,0.02,0.02,5
MP5-SD | Dirt Drop (Field-Tested),EUR,0.02,0.03,,,,,0,0.02,0.04,0.02,0.02,82,0.02,0.07,0.02,0.02,116,0.02,0.07,0.02,0.02,234
Negev | Bratatat (Well-Worn),EUR,1.13,1.51,,,,,0,1.19,1.2,1.2,1.2,2,1.19,1.2,1.2,1.2,2,1.19,1.84,1.49,1.4,9
Souvenir FAMAS | Waters of Nephthys (Minimal Wear),EUR,79.99,74.09,,,,,0,,,,,0,50,50,50,50,1,50,50,50,50,1
Sticker | BLAST.tv (Holo) | Paris 2023,EUR,0.06,0.07,0.14,0.14,0.14,0.14,3,0.04,0.2,0.08,0.05,23,0.03,0.2,0.08,0.1,118,0.03,0.34,0.07,0.05,352
"Sticker | iM (Holo, Champion) | Copenhagen 2024",EUR,1.44,0.46,0.95,0.95,0.95,0.95,1,0.95,0.95,0.95,0.95,1,0.32,1.19,0.58,0.34,6,0.23,1.69,0.63,0.35,25
Sealed Graffiti | Wings,EUR,0.76,0.77,0.57,0.57,0.57,0.57,1,0.57,1.6,0.92,0.58,3,0.57,1.85,1.02,0.84,23,0.57,3.5,1.28,0.88,58
StatTrak™ M4A4 | Hellfire (Field-Tested),EUR,82.27,90.3,,,,,0,,,,,0,66.78,93.34,76.24,72.6,8,63.69,93.34,76.4,75,17
StatTrak™ MP5-SD | Agent (Minimal Wear),EUR,2.66,3.02,,,,,0,2.23,3,2.64,2.66,4,2.23,4.5,2.9,2.99,19,1.93,4.5,2.73,2.65,65
Dragomir | Sabre,EUR,3.7,4.65,3.45,4.09,3.91,4.08,8,3.25,4.23,3.91,4.09,85,2.89,7.34,3.79,3.78,287,2.89,7.34,3.99,3.97,796
StatTrak™ Glock-18 | Shinobu (Factory New),EUR,68.5,71.34,,,,,0,56.02,88,69.35,68.3,8,52.47,120,74.97,77,41,52.47,161.58,83.1,78.04,61
Sealed Graffiti | Tilt (Jungle Green),EUR,0.02,0.03,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,6,0.02,0.02,0.02,0.02,11
Sticker | Cloud9 (Holo) | Antwerp 2022,EUR,19.99,21.09,19,19,19,19,4,11.08,19,17.33,17.56,185,7.33,19,13.49,13.4,369,6.11,19,10.73,8.86,764
Sticker | Pimp (Foil) | Atlanta 2017,EUR,162.49,88.75,,,,,0,,,,,0,161.99,161.99,161.99,161.99,1,99.68,161.99,130.84,130.84,2
Sticker | SENER1 (Gold) | Paris 2023,EUR,,0.8,,,,,0,,,,,0,7.58,7.58,7.58,7.58,1,0.77,7.58,4.18,4.18,2
AWP | Wildfire (Well-Worn),EUR,41.6,54.03,46,46,46,46,1,42.11,46,44.06,44.06,2,36.59,47.55,41.05,41.43,11,29.45,61.86,43.1,42.11,43
★ Gut Knife | Ultraviolet (Field-Tested),EUR,120.15,138.98,100.37,100.37,100.37,100.37,1,100.37,119.4,107.27,102.05,3,100.37,119.91,109.03,107.77,13,95.61,150.99,115.08,111.04,37
Sticker | dimasick (Foil) | Boston 2018,EUR,26.89,11.63,,,,,0,,,,,0,,,,,0,,,,,0
M4A1-S | Master Piece (Well-Worn),EUR,103.15,125.61,89.59,89.59,89.59,89.59,1,89.59,109.59,98.33,97.08,4,89.59,110.89,97.15,94.68,10,87.24,119.99,98.92,96.78,20
Sticker | es3tag | Antwerp 2022,EUR,0.02,0.03,0.03,0.03,0.03,0.03,1,0.03,0.03,0.03,0.03,1,0.02,0.03,0.03,0.02,2,0.02,0.04,0.03,0.03,3
AUG | Colony (Factory New),EUR,,14.68,,,,,0,15.17,15.17,15.17,15.17,1,15,15.17,15.09,15.08,2,15,15.17,15.09,15.08,2
Souvenir G3SG1 | Safari Mesh (Field-Tested),EUR,0.4,0.17,,,,,0,0.81,0.81,0.81,0.81,1,0.11,0.96,0.35,0.19,9,0.11,1.01,0.3,0.18,20
UMP-45 | Riot (Well-Worn),EUR,0.51,0.47,,,,,0,0.34,0.34,0.34,0.34,1,0.34,0.34,0.34,0.34,1,0.24,0.41,0.35,0.36,19
Sealed Graffiti | Kiss (Violent Violet),EUR,4.27,0.77,,,,,0,,,,,0,,,,,0,0.47,0.87,0.66,0.64,4
Sticker | shox (Holo) | Antwerp 2022,EUR,1.41,0.95,,,,,0,,,,,0,,,,,0,0.76,1.03,0.9,0.9,2
Sticker | mou | Atlanta 2017,EUR,43.47,3.35,,,,,0,,,,,0,5.92,5.92,5.92,5.92,1,2.28,5.92,4.1,4.1,2
Sealed Graffiti | Hop (Tracer Yellow),EUR,0.59,0.35,,,,,0,,,,,0,0.29,0.29,0.29,0.29,1,0.29,0.31,0.3,0.3,2
Souvenir P250 | Sand Dune (Factory New),EUR,162.32,29.74,,,,,0,,,,,0,,,,,0,,,,,0
Negev | Wall Bang (Well-Worn),EUR,0.1,0.07,,,,,0,0.05,0.93,0.16,0.05,8,0.03,0.93,0.07,0.06,91,0.02,0.93,0.06,0.06,391
★ Driver Gloves | Snow Leopard (Factory New),EUR,3200,3423.88,,,,,0,,,,,0,,,,,0,2295.96,2995.61,2645.79,2645.78,2
StatTrak™ FAMAS | Bad Trip (Well-Worn),EUR,7.29,9.12,,,,,0,,,,,0,6,9.81,7,6.58,10,6,10.7,7.79,7.72,23
SG 553 | Night Camo (Well-Worn),EUR,0.57,0.04,,,,,0,0.03,0.04,0.04,0.04,2,0.03,0.04,0.03,0.03,3,0.03,0.11,0.04,0.03,7
Autograph Capsule | Fnatic | Cluj-Napoca 2015,EUR,5.64,5.11,,,,,0,4.2,4.2,4.2,4.2,1,4.2,4.2,4.2,4.2,1,3.67,4.5,4.22,4.34,4
Sticker | refrezh | Rio 2022,EUR,0.45,0.08,,,,,0,0.06,0.07,0.07,0.06,2,0.06,0.45,0.16,0.07,9,0.04,0.45,0.14,0.06,40
Souvenir XM1014 | CaliCamo (Factory New),EUR,,55.23,,,,,0,,,,,0,,,,,0,,,,,0
Patch | FaZe Clan | Stockholm 2021,EUR,10.65,7.8,,,,,0,11.2,11.2,11.2,11.2,1,6.69,11.2,9.1,8,7,5.93,13.91,8.96,8,16
Sticker | Gutted,EUR,0.43,0.44,,,,,0,0.35,0.35,0.35,0.35,1,0.32,0.63,0.51,0.54,21,0.26,0.69,0.45,0.37,63
Tec-9 | Bamboozle (Field-Tested),EUR,0.3,0.41,,,,,0,0.3,1.8,0.42,0.33,19,0.22,1.8,0.39,0.33,88,0.22,1.8,0.45,0.42,362
Sticker | TRAVIS (Gold) | Copenhagen 2024,EUR,,1,,,,,0,,,,,0,,,,,0,,,,,0
M4A1-S | Chantico's Fire (Minimal Wear),EUR,51.6,66.68,45.39,45.39,45.39,45.39,1,45.39,69.82,54.68,55.14,20,42.57,84.99,53.38,52.4,96,42.57,84.99,56.7,55.49,269
MP9 | Sand Scale (Factory New),EUR,0.25,0.33,,,,,0,0.23,0.32,0.27,0.24,5,0.23,0.83,0.41,0.46,32,0.23,1.07,0.45,0.42,105
Sticker | NBK- | Boston 2018,EUR,2.19,1.03,,,,,0,,,,,0,,,,,0,0.83,0.83,0.83,0.83,1
MP7 | Army Recon (Well-Worn),EUR,0.02,0.03,,,,,0,,,,,0,0.02,0.02,0.02,0.02,9,0.02,0.03,0.02,0.02,37
Sticker | FL1T (Champion) | Rio 2022,EUR,0.02,0.03,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.03,0.02,0.02,13,0.02,0.03,0.02,0.02,23
Sticker | br0 (Foil) | Austin 2025,EUR,,0.69,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | denis (Gold) | Boston 2018,EUR,,167.98,,,,,0,,,,,0,,,,,0,,,,,0
M4A4 | Eye of Horus (Battle-Scarred),EUR,110.34,147.59,,,,,0,106.73,137,125.23,127.46,6,106.73,137,120.65,120,13,100,172.56,125.46,125.19,31
★ Butterfly Knife | Damascus Steel (Field-Tested),EUR,1190,1449.98,,,,,0,1070.53,1245.64,1151.43,1146.52,6,1070.53,1258.27,1172.13,1170.22,13,1000,1260,1140.3,1150,35
Desert Eagle | Sputnik (Well-Worn),EUR,1.52,1.22,,,,,0,1.02,1.02,1.02,1.02,1,0.98,1.02,1.01,1.02,3,0.98,3,1.49,1.1,6
SCAR-20 | Blueprint (Battle-Scarred),EUR,0.22,0.33,,,,,0,,,,,0,0.17,0.21,0.19,0.19,11,0.15,0.21,0.18,0.17,22
StatTrak™ SCAR-20 | Poultrygeist (Minimal Wear),EUR,0.22,0.27,0.2,0.21,0.2,0.2,3,0.2,0.3,0.23,0.22,17,0.2,0.9,0.29,0.23,65,0.18,0.9,0.27,0.25,164
Sticker | Mastermind,EUR,0.16,0.16,0.12,0.16,0.13,0.12,7,0.11,0.16,0.13,0.12,11,0.09,0.54,0.17,0.16,100,0.08,0.54,0.15,0.12,188
★ Survival Knife | Tiger Tooth (Factory New),EUR,204.78,231.99,181.08,209,194.02,192.99,4,172.72,232.44,210.88,214.6,26,164.02,279,214.71,216.04,94,164.02,279,215.04,215.68,140
StatTrak™ MAC-10 | Last Dive (Battle-Scarred),EUR,3.01,3.44,,,,,0,,,,,0,,,,,0,2.34,3.06,2.7,2.7,2
SCAR-20 | Short Ochre (Well-Worn),EUR,,0.03,,,,,0,0.03,0.03,0.03,0.03,1,0.03,0.04,0.03,0.03,6,0.03,0.04,0.03,0.03,6
StatTrak™ CZ75-Auto | Crimson Web (Minimal Wear),EUR,3.3,3.93,3.8,3.8,3.8,3.8,1,3.8,4.79,4.3,4.3,2,2.95,64.71,7.63,3.99,17,2.95,763.87,25.55,4.07,39
StatTrak™ AK-47 | Inheritance (Battle-Scarred),EUR,104.46,122.82,110.79,110.79,110.79,110.79,1,105,126.22,115.36,110.79,5,89.46,126.22,105.27,106.78,20,82.59,157.31,110.78,109.11,70
AUG | Akihabara Accept (Battle-Scarred),EUR,288.96,275.2,,,,,0,284.73,284.73,284.73,284.73,1,187.4,284.73,226.42,216.76,4,187.4,284.73,220.81,214.8,10
★ Paracord Knife | Scorched (Minimal Wear),EUR,131.37,138.22,,,,,0,108.09,108.09,108.09,108.09,1,106.25,120.04,113.56,115,7,99.73,142.1,116.56,117.65,19
Sticker | dgt (Gold) | Rio 2022,EUR,9.95,4.46,,,,,0,,,,,0,,,,,0,,,,,0
SSG 08 | Hand Brake (Battle-Scarred),EUR,0.18,0.21,,,,,0,0.15,0.24,0.19,0.17,8,0.15,0.32,0.2,0.18,25,0.15,0.39,0.22,0.22,41
Sticker | Keyd Stars (Foil) | Katowice 2015,EUR,109.99,75.72,,,,,0,,,,,0,,,,,0,,,,,0
MAC-10 | Toybox (Well-Worn),EUR,4.11,4.75,,,,,0,3.23,4.41,3.92,3.99,15,2.41,4.41,3.33,3.23,39,2.36,4.41,3.23,2.94,46
MP9 | Deadly Poison (Battle-Scarred),EUR,0.2,0.26,,,,,0,0.26,0.26,0.26,0.26,1,0.22,0.26,0.23,0.22,5,0.17,0.81,0.42,0.38,33
★ Huntsman Knife | Black Laminate (Well-Worn),EUR,137.17,168.04,,,,,0,124.91,157.97,137.82,136.92,7,104.56,157.97,135.47,136.92,29,104.56,176.38,139.65,139.46,69
Sticker | RUSH | Katowice 2019,EUR,6.99,4.11,,,,,0,,,,,0,,,,,0,3.94,4.74,4.22,3.99,3
★ Gut Knife | Bright Water (Factory New),EUR,123.96,155.26,,,,,0,135.35,135.35,135.35,135.35,1,113.59,160,132.76,131.74,10,108.16,164.99,133.95,131.74,46
Sticker | mezii (Gold) | Rio 2022,EUR,,6.5,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir MP7 | Orange Peel (Factory New),EUR,,17.28,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | QQ (Desert Amber),EUR,0.02,0.03,,,,,0,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,145
Sticker | Complexity Gaming (Glitter) | Paris 2023,EUR,0.04,0.04,0.03,0.1,0.09,0.1,6,0.02,0.11,0.07,0.1,41,0.02,0.14,0.07,0.04,174,0.02,0.2,0.06,0.04,564
MAC-10 | Lapis Gator (Minimal Wear),EUR,0.76,0.76,0.74,0.74,0.74,0.74,1,0.55,1.02,0.72,0.66,11,0.53,2.45,0.76,0.69,50,0.48,3.45,0.74,0.68,163
Sealed Graffiti | Longevity,EUR,1.11,0.99,,,,,0,,,,,0,,,,,0,0.64,1.12,0.91,0.93,4
Souvenir M4A1-S | Mud-Spec (Well-Worn),EUR,5.84,4.22,,,,,0,,,,,0,3.2,7.99,5.36,4.88,3,3.2,7.99,4.64,3.91,7
FAMAS | ZX Spectron (Factory New),EUR,6.5,7.77,8.08,8.08,8.08,8.08,1,5.74,12,8.65,8.08,7,5.64,19.59,7.86,7.5,33,5.64,20,8.7,8.03,115
Sticker | Jee (Gold) | Austin 2025,EUR,1062.51,543.16,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Magisk (Gold) | London 2018,EUR,,75.35,,,,,0,,,,,0,,,,,0,,,,,0
AK-47 | Vulcan (Minimal Wear),EUR,511.36,621.2,486.62,523.58,505.1,505.1,2,467.27,644.77,536.69,540.4,25,401.07,1000,521.71,510.97,75,385.45,1000,497.46,490,219
Tec-9 | Isaac (Minimal Wear),EUR,4.51,4.79,3.82,8.19,5.48,5.74,9,3.42,8.19,4.52,4.33,49,3.34,13.16,4.32,4.28,201,3.04,13.16,4.65,4.39,511
Negev | Bulkhead (Battle-Scarred),EUR,0.03,0.04,,,,,0,0.03,0.03,0.03,0.03,1,0.03,0.06,0.04,0.03,5,0.03,0.06,0.04,0.04,20
Five-SeveN | Sky Blue (Minimal Wear),EUR,1.33,0.45,0.34,1.15,0.75,0.74,2,0.33,2.53,1.11,0.67,17,0.29,3.37,1.17,0.72,78,0.29,3.37,1.18,0.72,101
Glock-18 | Wasteland Rebel (Field-Tested),EUR,4,4.74,,,,,0,3.39,4.69,4.1,4.31,13,3,5.28,4.03,4,83,3,13.82,4.47,4.38,282
Souvenir P2000 | Grassland (Factory New),EUR,7.99,6.61,,,,,0,,,,,0,6.65,6.65,6.65,6.65,1,6.65,7.62,7.14,7.14,2
★ StatTrak™ Gut Knife | Night (Well-Worn),EUR,,148.64,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir M4A4 | Mainframe (Factory New),EUR,1.45,1.63,,,,,0,1.2,2.37,1.6,1.24,3,1,4.29,1.7,1.51,15,1,30.27,2.77,1.88,70
StatTrak™ Sawed-Off | Yorick (Field-Tested),EUR,0.31,0.4,,,,,0,,,,,0,0.31,0.36,0.34,0.34,2,0.24,3.3,0.71,0.32,42
Souvenir Sawed-Off | Amber Fade (Field-Tested),EUR,20.07,8.66,,,,,0,,,,,0,,,,,0,,,,,0
★ Sport Gloves | Hedge Maze (Minimal Wear),EUR,,19373.53,,,,,0,,,,,0,17040.81,17040.81,17040.81,17040.81,1,11587.77,17040.81,14314.29,14314.29,2
★ Karambit | Ultraviolet (Battle-Scarred),EUR,806.4,916.59,,,,,0,,,,,0,747.63,747.63,747.63,747.63,1,667.37,747.63,707.5,707.5,2
Sticker | Heavygod | Austin 2025,EUR,,0.01,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,2
Sticker | dupreeh (Foil) | MLG Columbus 2016,EUR,22.22,12.78,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | Dead Now (SWAT Blue),EUR,6.2,0.23,,,,,0,,,,,0,,,,,0,0.12,5.18,1.82,0.17,3
Sticker | SIXER (Foil) | Atlanta 2017,EUR,,41.88,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Avangar (Holo) | Katowice 2019,EUR,2.29,1.73,,,,,0,,,,,0,1.59,2.29,1.94,1.94,2,1.59,2.58,2.1,2.29,22
Dual Berettas | Hemoglobin (Field-Tested),EUR,10.9,9.89,9.93,10.99,10.46,10.46,2,9.93,10.99,10.46,10.46,2,7.04,10.99,8.78,8.58,5,7.04,14.55,9.39,9.26,14
StatTrak™ MP5-SD | Necro Jr. (Factory New),EUR,0.99,0.93,0.99,0.99,0.99,0.99,1,0.96,0.99,0.98,0.98,2,0.74,1.63,0.99,0.92,24,0.72,4.39,1.46,0.98,78
Sticker | FL1T (Foil) | Berlin 2019,EUR,14.83,0.68,,,,,0,,,,,0,0.46,0.46,0.46,0.46,1,0.46,2.49,0.94,0.5,6
★ Falchion Knife | Forest DDPAT (Minimal Wear),EUR,150.5,152.84,,,,,0,121.83,131.9,126.87,126.86,2,109.43,149.08,124.5,122.06,6,108.11,153.2,129.86,125.64,12
Sticker | RUSH (Gold) | London 2018,EUR,,102.3,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Toxic Flow (Holo),EUR,10.21,12.81,,,,,0,10,11.03,10.63,10.76,6,8.41,11.49,10.58,10.71,26,7.5,12,10.8,10.99,90
Sticker | jL | Copenhagen 2024,EUR,0.02,0.03,,,,,0,,,,,0,0.02,0.03,0.02,0.02,33,0.02,0.03,0.02,0.02,48
StatTrak™ MP9 | Airlock (Well-Worn),EUR,6.35,6.16,,,,,0,5.75,5.75,5.75,5.75,1,4.07,5.75,4.91,4.97,5,4.07,6.31,4.86,4.78,12
Five-SeveN | Buddy (Battle-Scarred),EUR,0.66,0.58,,,,,0,0.42,0.42,0.42,0.42,1,0.42,0.46,0.44,0.44,3,0.42,0.57,0.49,0.48,13
Sticker | Twistzz (Foil) | London 2018,EUR,,39.39,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | Little EZ (Shark White),EUR,0.63,0.26,,,,,0,0.24,0.24,0.24,0.24,1,0.24,0.6,0.42,0.42,2,0.14,0.65,0.41,0.42,4
MP9 | Hot Rod (Factory New),EUR,193.27,220.77,158.87,195,176.94,176.94,2,158.87,220,187.12,186.12,16,156.11,319,195.55,189.31,59,132.45,319,176.3,172.71,230
Souvenir P90 | Fallout Warning (Well-Worn),EUR,21,4.64,,,,,0,,,,,0,3.93,3.93,3.93,3.93,1,3.93,4.74,4.34,4.34,2
AK-47 | Panthera onca (Minimal Wear),EUR,284.89,317.87,,,,,0,235.99,276.56,252.16,255.59,7,221.92,276.56,244.71,240.62,11,195.59,276.56,233.64,234.75,27
Dual Berettas | Tread (Battle-Scarred),EUR,0.66,0.87,,,,,0,0.64,0.64,0.64,0.64,1,0.64,0.75,0.69,0.67,3,0.49,1.17,0.71,0.66,20
Sticker | Co Co Co,EUR,0.9,0.8,1.09,1.09,1.09,1.09,2,0.51,1.1,0.82,0.82,16,0.51,1.49,0.87,0.8,114,0.5,4.95,1.01,0.8,359
M249 | Shipping Forecast (Battle-Scarred),EUR,,18.66,,,,,0,,,,,0,,,,,0,,,,,0
MAG-7 | Hard Water (Factory New),EUR,3.2,2.93,,,,,0,2.34,2.34,2.34,2.34,1,2.17,3.22,2.5,2.28,8,1.96,3.47,2.72,2.62,21
Sticker | gxx- | Antwerp 2022,EUR,0.02,0.03,,,,,0,0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,0.02,6
Sticker | Have Fun,EUR,0.57,0.42,0.33,0.33,0.33,0.33,1,0.33,0.42,0.39,0.4,6,0.33,0.42,0.39,0.4,8,0.29,0.64,0.45,0.4,36
Sticker | isak (Gold) | Paris 2023,EUR,,1.13,,,,,0,,,,,0,,,,,0,0.85,1.59,1.22,1.22,2
M4A1-S | Player Two (Field-Tested),EUR,19.11,24.5,18.05,30.99,21.65,20.7,16,16.62,31.67,20.93,21.05,92,15,33.86,20.65,20.47,426,13.99,39.93,21.4,20.86,1318
Sticker | Natus Vincere | Boston 2018,EUR,2.89,2.42,,,,,0,2.2,2.89,2.55,2.54,2,2.2,2.89,2.59,2.64,4,1.65,2.89,2.15,2.18,25
Galil AR | Sugar Rush (Well-Worn),EUR,,40.57,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir MP9 | Old Roots (Factory New),EUR,0.16,0.23,0.15,0.18,0.17,0.16,2,0.15,0.18,0.17,0.18,6,0.11,2.19,0.26,0.18,31,0.11,3.36,0.41,0.22,97
Souvenir M249 | Submerged (Factory New),EUR,0.26,0.1,,,,,0,0.06,0.06,0.06,0.06,1,0.06,0.08,0.07,0.08,3,0.06,0.11,0.08,0.08,5
Sticker | Dragon (Foil),EUR,9.99,2.6,,,,,0,,,,,0,2.1,2.79,2.49,2.54,4,1.58,2.79,2.44,2.69,7
StatTrak™ P2000 | Urban Hazard (Well-Worn),EUR,0.08,0.11,,,,,0,0.08,0.08,0.08,0.08,2,0.06,0.09,0.08,0.09,9,0.06,0.1,0.09,0.09,23
Sticker | n0rb3r7 (Holo) | Copenhagen 2024,EUR,0.68,0.37,,,,,0,0.24,0.24,0.24,0.24,1,0.24,0.31,0.26,0.24,3,0.19,0.63,0.41,0.38,10
P90 | Wave Breaker (Factory New),EUR,3.47,3.07,2.1,4.49,2.79,2.28,4,2.1,14.86,3.73,2.46,23,1.96,14.86,3.39,2.58,91,1.83,45.06,4.2,2.99,155
Sticker | Spiidi | Cologne 2016,EUR,5.99,4.02,,,,,0,,,,,0,2.73,2.73,2.73,2.73,1,2.73,2.73,2.73,2.73,1
M4A1-S | Boreal Forest (Minimal Wear),EUR,0.16,0.22,0.2,0.2,0.2,0.2,1,0.16,23.43,2.06,0.19,14,0.1,72.23,2.37,0.16,67,0.06,72.23,0.85,0.11,255
Sealed Graffiti | Tyloo | Boston 2018,EUR,9.99,7.64,,,,,0,,,,,0,8.49,8.99,8.74,8.74,2,7,8.99,8.16,8.49,3
Sticker | Team LDLC.com | Katowice 2014,EUR,1290.76,1519.98,,,,,0,,,,,0,,,,,0,,,,,0
P250 | Exchanger (Factory New),EUR,0.34,0.46,,,,,0,0.34,0.35,0.35,0.34,2,0.33,0.8,0.43,0.34,17,0.32,3.48,0.52,0.42,79
G3SG1 | Scavenger (Well-Worn),EUR,0.44,0.59,,,,,0,0.39,0.39,0.39,0.39,1,0.39,0.49,0.45,0.46,4,0.36,1.12,0.59,0.58,32
2020 RMR Legends,EUR,0.17,0.19,0.15,0.2,0.16,0.15,10,0.13,0.2,0.19,0.2,42,0.13,1.17,0.2,0.2,492,0.11,1.17,0.18,0.19,1559
