market_hash_name,currency,current_min_price,suggested_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,EUR,47.2,48.69,,,,,0,,,,,0,,,,,0,32.76,45.75,39.26,39.26,2
Souvenir MP5-SD | Lab Rats (Field-Tested),EUR,0.09,0.13,,,,,0,0.07,0.79,0.14,0.1,21,0.04,2,0.19,0.1,63,0.04,4.69,0.17,0.1,197
Sticker | adamb (Gold) | Austin 2025,EUR,15.65,15.28,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir UMP-45 | Urban DDPAT (Factory New),EUR,50,11.38,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Xizt | Cologne 2015,EUR,2.2,1.74,,,,,0,,,,,0,1.3,2.3,1.76,1.59,5,1.3,2.65,1.73,1.61,12
AWP | Hyper Beast (Field-Tested),EUR,25.86,30.32,22.6,32.44,27.34,27,9,22.6,36.35,27.26,27,35,18.4,36.35,26.06,25.84,207,18.4,107.01,27.36,26.96,630
StatTrak™ AWP | Fever Dream (Well-Worn),EUR,25.67,25.59,,,,,0,,,,,0,17.57,19.29,18.54,18.65,4,17.57,21,19.42,19.29,7
Sticker | dupreeh | Katowice 2019,EUR,1.38,0.61,,,,,0,,,,,0,0.4,0.4,0.4,0.4,3,0.31,0.92,0.5,0.4,6
Sticker | Jame (Gold) | Berlin 2019,EUR,20.99,16.62,,,,,0,,,,,0,,,,,0,,,,,0
P2000 | Chainmail (Field-Tested),EUR,,105.54,,,,,0,,,,,0,,,,,0,,,,,0
★ Kukri Knife | Urban Masked (Well-Worn),EUR,123.87,152.82,,,,,0,,,,,0,116.03,127.99,120.87,118.6,3,102.27,159.09,125.76,124.35,19
StatTrak™ AWP | Hyper Beast (Factory New),EUR,216.09,266.63,217.57,217.57,217.57,217.57,1,180.79,217.57,201.12,205,3,171.5,230.8,198.54,197.48,10,170.61,293.99,208.45,206.84,27
Five-SeveN | Scrawl (Minimal Wear),EUR,0.07,0.11,0.07,0.08,0.08,0.08,9,0.06,0.12,0.09,0.08,68,0.05,0.87,0.09,0.08,193,0.05,2.54,0.11,0.09,689
Sticker | chopper (Foil) | Krakow 2017,EUR,30.5,24.68,,,,,0,,,,,0,,,,,0,26.99,29.79,28.39,28.39,2
Sticker | G2 Esports (Holo) | Shanghai 2024,EUR,0.85,0.87,0.85,0.85,0.85,0.85,1,0.58,1.79,1.01,0.9,17,0.45,1.79,0.8,0.7,55,0.36,3.17,1.21,1.14,152
M4A4 | Etch Lord (Factory New),EUR,2.6,2.73,,,,,0,1.93,3.03,2.62,2.79,15,1.8,4.8,2.52,2.57,69,1.8,18,2.89,2.66,245
Sealed Graffiti | Sorry (Princess Pink),EUR,0.02,0.03,,,,,0,,,,,0,,,,,0,0.02,0.02,0.02,0.02,18
StatTrak™ Glock-18 | Off World (Battle-Scarred),EUR,0.43,0.44,0.32,0.42,0.37,0.37,2,0.32,0.56,0.38,0.36,12,0.32,2.62,0.48,0.37,23,0.24,16.85,0.7,0.42,73
Souvenir SSG 08 | Hand Brake (Battle-Scarred),EUR,2.58,1.83,,,,,0,,,,,0,,,,,0,1.21,3.1,2.16,2.16,2
Sticker | Skadoodle | Boston 2018,EUR,3.9,4.16,,,,,0,,,,,0,4.33,6.99,5.26,4.47,3,3.86,12.8,7.25,6.99,9
Nova | Tempest (Factory New),EUR,10.94,11.99,,,,,0,,,,,0,10.56,14.49,12.58,12.7,3,10.56,17.17,12.63,12.02,9
UMP-45 | Indigo (Well-Worn),EUR,4.18,2.92,,,,,0,3.99,3.99,3.99,3.99,1,2.12,3.99,2.83,2.53,5,2.12,3.99,2.77,2.53,11
Desert Eagle | Serpent Strike (Factory New),EUR,2.08,2.6,1.78,2.84,2.25,2.27,34,1.47,8.15,2.45,2.44,167,1.29,23.82,2.53,2.38,761,1.23,23.82,2.94,2.46,1284
Sticker | Virtus.Pro (Foil) | Cologne 2015,EUR,16,12.11,,,,,0,,,,,0,,,,,0,8.36,13.99,11.41,12.36,6
StatTrak™ AUG | Arctic Wolf (Field-Tested),EUR,4.27,5.17,,,,,0,3.71,3.99,3.85,3.85,2,3.56,7.5,4.42,4.09,21,3.56,7.5,4.56,4.59,51
Sealed Graffiti | Recoil AWP (Tiger Orange),EUR,5.59,4.07,,,,,0,,,,,0,,,,,0,2.5,2.5,2.5,2.5,1
Sticker | SANJI | Berlin 2019,EUR,0.34,0.1,,,,,0,,,,,0,0.05,0.05,0.05,0.05,3,0.05,0.1,0.07,0.05,7
Sticker | sico (Gold) | Antwerp 2022,EUR,1.95,2.64,,,,,0,,,,,0,2.1,2.12,2.11,2.1,4,2.1,2.12,2.11,2.1,4
SSG 08 | Parallax (Battle-Scarred),EUR,2.69,3.29,,,,,0,,,,,0,2.27,2.27,2.27,2.27,1,2.27,17.01,3.53,2.94,24
Sticker | No Time,EUR,0.62,0.27,,,,,0,0.21,0.63,0.34,0.27,5,0.21,0.64,0.38,0.28,13,0.19,0.69,0.3,0.24,53
★ Falchion Knife | Blue Steel (Battle-Scarred),EUR,159.73,215.85,,,,,0,182.99,182.99,182.99,182.99,1,147.95,182.99,163.17,163.09,5,138.25,207.9,169.44,169.88,20
★ StatTrak™ Butterfly Knife | Urban Masked (Factory New),EUR,,1669.38,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | chrisJ (Gold) | London 2018,EUR,,44.21,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Jame | Boston 2018,EUR,4.21,4.1,,,,,0,,,,,0,,,,,0,3.04,3.04,3.04,3.04,1
★ Butterfly Knife,EUR,2627.16,3163.03,,,,,0,2826.69,2826.69,2826.69,2826.69,1,2154.56,2826.69,2391.79,2349.5,18,1850,2826.69,2300.69,2287.42,51
★ Huntsman Knife | Safari Mesh (Field-Tested),EUR,127.27,146.97,,,,,0,106.57,106.57,106.57,106.57,1,104.39,126.29,112.42,106.57,3,104.39,141.55,118.23,108.21,7
★ Shadow Daggers | Autotronic (Minimal Wear),EUR,106.55,142.06,118.81,118.81,118.81,118.81,1,111.72,135,121.07,118.4,8,99.86,138.76,118.54,118.93,29,99.86,150,122.63,121.26,82
StatTrak™ M4A4 | Turbine (Factory New),EUR,16,13.78,,,,,0,11.93,14.99,13.73,13.99,4,7.63,39.1,14.74,12.08,22,7.63,39.1,16.82,13.99,50
Sticker | KSCERATO (Glitter) | Shanghai 2024,EUR,0.43,0.63,,,,,0,,,,,0,0.38,0.44,0.41,0.41,2,0.3,0.89,0.52,0.46,23
Sticker | MIBR | London 2018,EUR,1.13,0.61,,,,,0,0.45,0.46,0.46,0.46,2,0.45,0.73,0.58,0.6,8,0.41,1.22,0.63,0.5,18
Sticker | 3DMAX (Gold) | Shanghai 2024,EUR,4.88,1.88,,,,,0,,,,,0,1.3,3.59,2.79,3.08,10,1.16,5,2.39,2.18,46
Souvenir MP9 | Setting Sun (Battle-Scarred),EUR,6,7.13,,,,,0,5.3,5.3,5.3,5.3,1,5.3,5.37,5.34,5.34,2,3.91,5.37,4.86,5.3,3
'Two Times' McCoy | USAF TACP,EUR,5.14,6.45,4.95,5.81,5.39,5.37,7,4.4,5.87,5.42,5.39,53,4.22,11.63,5.35,5.34,223,3.32,11.63,5.53,5.39,607
Sticker | EZ,EUR,0.71,0.73,0.52,0.68,0.6,0.6,2,0.52,3.57,1.25,0.73,5,0.52,3.57,1.07,0.73,19,0.5,4.5,1.13,0.98,80
DreamHack 2014 Cache Souvenir Package,EUR,902.84,684.43,,,,,0,,,,,0,,,,,0,,,,,0
UMP-45 | Exposure (Factory New),EUR,1.53,1.61,1.27,1.27,1.27,1.27,1,1.14,2.22,1.49,1.3,16,1.14,2.36,1.52,1.56,55,1.14,17.5,1.7,1.56,159
Souvenir MP9 | Sand Dashed (Factory New),EUR,29.99,8.27,,,,,0,,,,,0,,,,,0,,,,,0
P90 | Trigon (Well-Worn),EUR,,9.05,,,,,0,7.47,7.47,7.47,7.47,1,5.63,7.47,6.55,6.55,2,5.63,8.24,7.35,7.77,4
SG 553 | Cyrex (Factory New),EUR,18,18,,,,,0,13.03,19.09,15,13.94,4,11.76,36.99,17.07,15,17,11.76,36.99,15.73,14.16,44
MP9 | Multi-Terrain (Well-Worn),EUR,,0.03,,,,,0,,,,,0,0.02,0.03,0.03,0.02,4,0.02,0.03,0.02,0.02,9
Sticker | nicx (Foil) | Austin 2025,EUR,,0.2,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Aleksib (Gold) | Berlin 2019,EUR,,12.05,,,,,0,,,,,0,,,,,0,,,,,0
MAC-10 | Sienna Damask (Battle-Scarred),EUR,1.94,0.57,0.42,0.42,0.42,0.42,1,0.36,0.9,0.56,0.56,6,0.35,0.9,0.51,0.46,10,0.35,3.38,0.6,0.5,27
Sticker | ENCE | Stockholm 2021,EUR,0.03,0.03,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.03,0.02,0.02,15,0.02,0.06,0.02,0.02,78
★ StatTrak™ Shadow Daggers | Bright Water (Minimal Wear),EUR,129.98,121.32,,,,,0,,,,,0,92.14,92.14,92.14,92.14,1,92.14,131.07,108.55,102.54,5
Sticker | felps | Katowice 2019,EUR,0.73,0.4,,,,,0,,,,,0,,,,,0,0.23,0.23,0.23,0.23,1
StatTrak™ Galil AR | Sandstorm (Battle-Scarred),EUR,1.87,1.9,,,,,0,,,,,0,1.45,2.01,1.7,1.64,3,1.36,4,2.09,1.64,5
Sticker | apEX (Champion) | Paris 2023,EUR,0.02,0.03,0.02,0.02,0.02,0.02,6,0.02,0.02,0.02,0.02,13,0.02,0.02,0.02,0.02,60,0.02,0.02,0.02,0.02,257
★ StatTrak™ Bowie Knife | Gamma Doppler (Factory New),EUR,425.71,1170.99,,,,,0,,,,,0,,,,,0,1297.79,1297.79,1297.79,1297.79,1
Sticker | degster (Gold) | Antwerp 2022,EUR,8.77,5.21,,,,,0,,,,,0,3.92,3.92,3.92,3.92,1,3.8,3.92,3.86,3.86,2
StatTrak™ XM1014 | Teclu Burner (Factory New),EUR,9.49,8.41,,,,,0,7.06,8.99,8.03,8.02,2,6.5,8.99,7.76,7.79,13,5.49,10.95,7.67,7.84,34
Sticker | chopper (Gold) | Boston 2018,EUR,,78.4,,,,,0,,,,,0,,,,,0,,,,,0
★ StatTrak™ Flip Knife | Autotronic (Factory New),EUR,,581.73,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ SSG 08 | Mainframe 001 (Well-Worn),EUR,0.06,0.11,,,,,0,0.07,0.08,0.08,0.08,3,0.06,0.1,0.08,0.08,36,0.06,0.36,0.09,0.09,106
MAC-10 | Urban DDPAT (Battle-Scarred),EUR,,2.93,,,,,0,2.82,2.82,2.82,2.82,1,2.39,2.82,2.61,2.6,2,2.39,2.82,2.61,2.6,2
★ StatTrak™ Karambit | Scorched (Well-Worn),EUR,,794.44,,,,,0,,,,,0,,,,,0,511.55,558.34,534.95,534.94,2
Sealed Graffiti | Eco (SWAT Blue),EUR,0.02,0.03,,,,,0,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,3
Sticker | f0rest (Gold) | Berlin 2019,EUR,,13.16,,,,,0,,,,,0,,,,,0,14.3,14.3,14.3,14.3,1
Five-SeveN | Midnight Paintover (Factory New),EUR,0.21,0.27,0.18,0.27,0.2,0.18,6,0.18,0.3,0.21,0.2,30,0.1,4,0.22,0.19,407,0.09,4,0.24,0.21,915
StatTrak™ UMP-45 | Metal Flowers (Factory New),EUR,10.89,8.22,,,,,0,,,,,0,8.4,8.4,8.4,8.4,1,5.73,8.4,6.98,6.82,6
Sealed Graffiti | Speechless (Brick Red),EUR,0.02,0.03,,,,,0,,,,,0,0.03,0.03,0.03,0.03,1,0.02,0.03,0.03,0.02,2
Sticker | jks (Glitter) | Paris 2023,EUR,0.13,0.04,,,,,0,0.05,0.05,0.05,0.05,2,0.04,0.05,0.04,0.04,9,0.03,0.14,0.04,0.04,23
Sticker | yuurih (Gold) | Shanghai 2024,EUR,,8.56,,,,,0,,,,,0,,,,,0,7.35,8.11,7.73,7.73,2
AK-47 | Legion of Anubis (Field-Tested),EUR,4.31,5.91,4.29,4.88,4.71,4.78,15,4.17,6.42,4.79,4.8,131,3.6,9.09,4.92,4.98,530,2.7,11.88,5.92,5.75,1755
M4A1-S | Stratosphere (Battle-Scarred),EUR,34.5,32.26,,,,,0,26.96,36.61,31.79,31.78,2,25,39.95,31.35,28.22,5,18.81,50,30.39,27.66,10
StatTrak™ Tec-9 | Fuel Injector (Minimal Wear),EUR,19.56,22.87,17.78,18.67,18.23,18.22,2,17,26.03,20.59,20.2,10,17,26.03,20.85,21,29,15.55,29.99,20.41,20.17,121
G3SG1 | Arctic Camo (Minimal Wear),EUR,49.99,22.59,,,,,0,,,,,0,,,,,0,13.35,13.35,13.35,13.35,1
Sticker | kraghen (Gold) | Copenhagen 2024,EUR,2.33,0.91,,,,,0,,,,,0,,,,,0,,,,,0
