market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sticker | Copenhagen Flames | Stockholm 2021,EUR,0.04,0.02,0.04,0.03,0.03,2,0.02,0.09,0.06,0.06,7,0.02,0.09,0.04,0.03,26,0.02,0.09,0.03,0.02,121
G3SG1 | Azure Zebra (Factory New),EUR,2.41,,,,,0,2.32,2.32,2.32,2.32,1,1.85,3.57,2.46,2.21,18,1.39,3.57,2.27,2.12,58
Tec-9 | Re-Entry (Factory New),EUR,1.72,1.42,1.89,1.73,1.87,3,1.41,2.32,1.88,1.92,22,1.22,6.84,1.83,1.8,93,1,9,1.92,1.86,288
P2000 | Ocean Foam (Minimal Wear),EUR,400,,,,,0,,,,,0,107.47,345.38,226.43,226.42,2,107.47,345.38,190.68,119.2,3
Sticker | FL1T | Copenhagen 2024,EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,5
StatTrak™ Glock-18 | Winterized (Battle-Scarred),EUR,0.11,0.1,0.1,0.1,0.1,1,0.1,1.5,0.34,0.12,6,0.09,1.9,0.27,0.12,21,0.09,4.33,0.29,0.13,76
StatTrak™ Tec-9 | Cracked Opal (Battle-Scarred),EUR,0.23,,,,,0,,,,,0,0.12,0.24,0.18,0.18,26,0.12,1.9,0.21,0.17,49
★ Shadow Daggers,EUR,137.5,120,149.6,134.8,134.8,2,103.54,150,124.13,118.68,8,103.54,158.32,134.06,133.58,34,103.54,185,141.64,144.12,87
Sticker | interz (Glitter) | Rio 2022,EUR,0.2,,,,,0,,,,,0,0.03,0.05,0.04,0.04,2,0.03,0.05,0.04,0.04,3
M4A4 | Eye of Horus (Battle-Scarred),EUR,145,,,,,0,106.73,137,123.63,126.93,7,100,137,119.18,117.87,14,100,172.56,125.85,125.19,33
★ Navaja Knife | Boreal Forest (Minimal Wear),EUR,94.44,,,,,0,,,,,0,83,103.99,93.5,93.5,2,83,108.89,96.36,97.29,9
Sticker | jks (Glitter) | Paris 2023,EUR,0.13,,,,,0,0.05,0.05,0.05,0.05,2,0.04,0.05,0.04,0.04,9,0.03,0.14,0.04,0.04,23
Negev | Ultralight (Minimal Wear),EUR,0.07,0.07,0.07,0.07,0.07,4,0.05,0.1,0.07,0.07,46,0.05,0.21,0.08,0.08,201,0.05,0.39,0.09,0.08,700
Souvenir PP-Bizon | Chemical Green (Battle-Scarred),EUR,1.15,,,,,0,,,,,0,0.83,1.11,0.97,0.97,2,0.83,1.48,1.08,1.07,7
Sticker | G2 Esports (Foil) | Stockholm 2021,EUR,1.81,,,,,0,1.89,2.79,2.13,1.97,5,1.38,2.79,1.79,1.73,18,1.25,2.79,1.61,1.66,69
Sealed Graffiti | Shining Star (Desert Amber),EUR,0.6,,,,,0,,,,,0,0.17,0.17,0.17,0.17,1,0.17,0.45,0.29,0.24,9
Sticker | VINI | Katowice 2019,EUR,10.75,,,,,0,3.99,4.99,4.49,4.49,2,1.56,4.99,3.18,3.08,4,0.54,4.99,1.73,1.56,13
Sticker | JamYoung | Austin 2025,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | karrigan (Gold) | Boston 2018,EUR,528.96,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ M4A1-S | Atomic Alloy (Factory New),EUR,142.29,150,150,150,150,1,129.96,150,139.98,139.98,2,118,150,129.66,128.72,6,110.52,235,134.48,131.24,18
Sealed Graffiti | Loser (Monster Purple),EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,9,0.02,0.07,0.02,0.02,11
AK-47 | Elite Build (Factory New),EUR,5.57,8.93,8.93,8.93,8.93,1,6.5,13.67,8.55,7.2,15,4.8,66.71,8.1,6.42,91,4.72,66.71,7.35,6.51,302
★ StatTrak™ Classic Knife | Boreal Forest (Field-Tested),EUR,169.99,,,,,0,139.99,139.99,139.99,139.99,1,139.99,139.99,139.99,139.99,1,139.99,158.19,149.09,149.09,2
Sealed Graffiti | Noscope (Wire Blue),EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,3,0.02,0.02,0.02,0.02,16
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear),EUR,8.75,9.32,9.32,9.32,9.32,1,7.12,10.89,9.08,9.34,23,7.12,12.06,9.02,9.34,86,7.09,12.95,9.3,9.27,259
Souvenir Galil AR | VariCamo (Battle-Scarred),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
MP9 | Storm (Minimal Wear),EUR,4.1,,,,,0,3.01,4.39,3.86,4.02,5,2.86,6.25,3.7,3.8,27,2.79,6.29,3.89,3.84,75
StatTrak™ CZ75-Auto | Xiangliu (Factory New),EUR,31.12,,,,,0,28.1,35.5,31.59,31.16,3,25.82,120.39,38.8,30.27,10,24.31,120.39,36.01,30.55,27
Souvenir MP7 | Motherboard (Factory New),EUR,0.31,0.43,0.43,0.43,0.43,1,0.4,0.43,0.42,0.42,2,0.31,10,1.97,0.38,6,0.28,10,0.75,0.36,24
Sticker | Gambit Esports (Holo) | Boston 2018,EUR,12.48,,,,,0,,,,,0,13.5,14.8,14.07,13.99,4,9.01,14.8,12.37,13.5,7
Sticker | North | Krakow 2017,EUR,1.69,,,,,0,,,,,0,1.04,1.2,1.12,1.12,4,0.93,2.23,1.31,1.15,22
Charm | Chicken Lil',EUR,1.9,1.85,2.27,1.95,1.91,8,1.31,5,1.9,1.89,59,1.14,15.48,2.1,1.77,272,0.97,25.57,2.1,1.84,1059
Sealed Graffiti | Grimace (Jungle Green),EUR,0.14,,,,,0,,,,,0,,,,,0,0.13,0.15,0.14,0.14,3
Tec-9 | Ice Cap (Field-Tested),EUR,0.15,0.14,0.14,0.14,0.14,1,0.14,0.2,0.17,0.17,9,0.1,0.89,0.2,0.17,51,0.1,1.09,0.28,0.21,199
P250 | Modern Hunter (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Tec-9 | Blast From the Past (Factory New),EUR,14.91,,,,,0,,,,,0,,,,,0,13.5,13.5,13.5,13.5,1
Sealed Graffiti | Karambit (Monster Purple),EUR,0.02,,,,,0,,,,,0,0.03,0.03,0.03,0.03,4,0.02,0.03,0.03,0.03,5
Audience Participation Parcel,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | fer (Holo) | Rio 2022,EUR,4.99,,,,,0,,,,,0,1.8,2.66,2.23,2.23,2,1.8,2.66,2.23,2.23,2
Sticker | snow (Holo) | Austin 2025,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | NEO | Boston 2018,EUR,2.79,,,,,0,,,,,0,,,,,0,2.69,2.69,2.69,2.69,1
Sticker | ScreaM | Cluj-Napoca 2015,EUR,34.99,,,,,0,,,,,0,20.99,20.99,20.99,20.99,1,20.99,20.99,20.99,20.99,1
Sticker | FaZe Clan (Glitter) | Rio 2022,EUR,0.63,,,,,0,0.54,0.65,0.63,0.65,8,0.2,0.65,0.58,0.65,22,0.14,1.19,0.52,0.64,66
StatTrak™ AUG | Wings (Factory New),EUR,27.22,,,,,0,25.75,27.91,26.62,25.95,5,21.07,27.91,23.78,23.61,16,20,46.6,24.64,23.4,64
Sticker | frozen (Gold) | Austin 2025,EUR,56.82,,,,,0,,,,,0,,,,,0,,,,,0
R8 Revolver | Night (Factory New),EUR,5.67,,,,,0,,,,,0,4.39,19.59,11.99,11.99,2,3.9,19.59,5.88,4.32,10
FAMAS | Meltdown (Factory New),EUR,40.27,,,,,0,37.04,67.83,44.73,40,5,37.04,67.83,44.39,40.72,8,30.55,179.9,45.51,40.54,41
Sealed Graffiti | Little EZ (Blood Red),EUR,0.69,,,,,0,,,,,0,0.27,0.6,0.37,0.3,4,0.25,0.6,0.34,0.27,5
Sealed Graffiti | Question Mark (War Pig Pink),EUR,0.21,,,,,0,,,,,0,,,,,0,0.21,0.25,0.23,0.23,2
MP9 | Cobalt Paisley (Factory New),EUR,8,7.99,10.19,9.43,10.1,3,3.69,39,10.96,9.99,11,3.45,39,9.86,8,39,3.32,39,10.34,7.99,53
StatTrak™ MP9 | Featherweight (Field-Tested),EUR,0.09,0.11,0.12,0.12,0.12,2,0.09,0.12,0.1,0.1,6,0.09,0.16,0.1,0.1,29,0.08,0.43,0.14,0.14,132
Sealed Graffiti | Worry (War Pig Pink),EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,11,0.02,0.02,0.02,0.02,27
Sticker | arT | Katowice 2019,EUR,1.99,,,,,0,,,,,0,,,,,0,0.92,0.96,0.94,0.94,4
Sticker | GODSENT | Stockholm 2021,EUR,0.03,0.02,0.02,0.02,0.02,1,0.02,0.03,0.02,0.02,5,0.02,0.04,0.03,0.03,34,0.02,0.08,0.03,0.03,63
Souvenir P90 | ScaraB Rush (Factory New),EUR,50.54,,,,,0,,,,,0,16.98,16.98,16.98,16.98,1,16.98,16.98,16.98,16.98,1
P2000 | Pathfinder (Field-Tested),EUR,28.41,,,,,0,,,,,0,25,25,25,25,1,16.28,25,22.06,24.91,3
Sticker | hallzerk (Glitter) | Shanghai 2024,EUR,0.13,,,,,0,,,,,0,0.03,0.03,0.03,0.03,2,0.02,0.15,0.06,0.03,14
P90 | Blue Tac (Well-Worn),EUR,,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.03,0.03,0.03,3,0.02,0.06,0.04,0.03,6
SG 553 | Hazard Pay (Battle-Scarred),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
MAC-10 | Neon Rider (Minimal Wear),EUR,8.25,7.03,9.08,7.95,7.54,8,6.89,10.85,8.58,9.08,62,6.49,10.85,8.59,8.86,244,6,14.99,8.46,8.56,784
FAMAS | Spitfire (Field-Tested),EUR,17.85,,,,,0,14.54,14.54,14.54,14.54,1,13.57,25.99,17.29,15.86,8,13.5,25.99,18.17,17.96,32
Sticker | SmithZz (Gold) | London 2018,EUR,87.89,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ AUG | Chameleon (Well-Worn),EUR,12.15,,,,,0,,,,,0,,,,,0,8.95,8.95,8.95,8.95,1
M4A1-S | Player Two (Well-Worn),EUR,19.7,,,,,0,17,19.17,18.04,17.98,4,15.96,22.78,18.24,17.86,19,15.96,29.79,20.19,19.17,49
StatTrak™ MAG-7 | Resupply (Field-Tested),EUR,0.09,,,,,0,0.09,0.22,0.11,0.1,46,0.06,0.43,0.11,0.1,174,0.06,0.43,0.12,0.1,262
★ Survival Knife | Scorched (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | Tombstone (Shark White),EUR,0.03,,,,,0,0.04,0.05,0.04,0.04,5,0.03,1.23,0.1,0.04,20,0.03,1.23,0.06,0.04,99
Souvenir Nova | Army Sheen (Minimal Wear),EUR,0.02,,,,,0,,,,,0,0.02,0.11,0.02,0.02,78,0.02,0.11,0.02,0.02,154
StatTrak™ P90 | Blind Spot (Minimal Wear),EUR,15.24,,,,,0,,,,,0,10.88,12.97,11.93,11.92,2,10.88,155,25.74,12.98,11
Sticker | Forty Two,EUR,0.56,0.44,0.44,0.44,0.44,1,0.44,0.45,0.45,0.45,3,0.44,1.15,0.74,0.7,8,0.42,1.5,0.77,0.56,23
★ Stiletto Knife | Stained (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ PP-Bizon | Blue Streak (Field-Tested),EUR,4.02,,,,,0,4.04,4.04,4.04,4.04,1,3.44,4.57,4.19,4.37,5,3.07,4.57,3.89,3.92,10
Sticker | Heroic (Gold) | Paris 2023,EUR,2,,,,,0,0.78,1.45,1.34,1.45,6,0.54,1.45,0.84,0.72,28,0.54,1.79,1.06,0.88,70
MAG-7 | Justice (Battle-Scarred),EUR,1.63,,,,,0,1.32,1.52,1.43,1.42,6,1.22,2.45,1.58,1.48,24,1.13,2.84,1.71,1.52,74
Sealed Graffiti | Happy Cat (Dust Brown),EUR,0.13,,,,,0,,,,,0,,,,,0,0.13,0.13,0.13,0.13,1
Souvenir SG 553 | Lush Ruins (Battle-Scarred),EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,11
Sticker | tarik (Gold) | Boston 2018,EUR,377.89,,,,,0,,,,,0,,,,,0,,,,,0
Galil AR | Orange DDPAT (Battle-Scarred),EUR,,,,,,0,,,,,0,11.14,11.14,11.14,11.14,1,11.14,11.14,11.14,11.14,1
P250 | Inferno (Well-Worn),EUR,0.64,,,,,0,,,,,0,,,,,0,0.55,0.96,0.85,0.89,7
★ Huntsman Knife | Black Laminate (Well-Worn),EUR,136.52,,,,,0,124.91,157.97,137.6,136.48,8,104.56,157.97,135.44,136.92,31,104.56,176.38,139.97,139.52,70
Sticker | NRG (Holo) | Katowice 2019,EUR,2.29,,,,,0,,,,,0,1.79,2.56,2.43,2.56,6,1.31,2.7,2.07,1.99,43
StatTrak™ PP-Bizon | High Roller (Well-Worn),EUR,5.82,,,,,0,3.7,3.99,3.85,3.84,2,3.65,3.99,3.78,3.74,4,3.28,7.7,5.55,5.25,13
★ StatTrak™ Karambit | Ultraviolet (Field-Tested),EUR,924.89,,,,,0,,,,,0,1000,1000,1000,1000,1,810.74,1000,905.37,905.37,2
Sticker | v4lde (Foil) | London 2018,EUR,8.4,,,,,0,,,,,0,,,,,0,3.23,3.23,3.23,3.23,1
★ Flip Knife | Doppler (Factory New),EUR,516.93,,,,,0,,,,,0,,,,,0,2195.46,2195.46,2195.46,2195.46,1
Nova | Blaze Orange (Minimal Wear),EUR,45.95,,,,,0,,,,,0,,,,,0,23.6,36.66,29.77,29.4,4
★ StatTrak™ Bayonet | Boreal Forest (Minimal Wear),EUR,273.6,,,,,0,,,,,0,218.37,218.37,218.37,218.37,1,196.45,240.77,218.49,218.37,5
MP9 | Food Chain (Field-Tested),EUR,2.3,1.92,2.45,2.24,2.38,12,1.78,3.51,2.43,2.52,94,1.38,5,2.42,2.52,460,1.38,5.95,2.69,2.59,1410
Souvenir Sawed-Off | Amber Fade (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Snappi (Gold) | Paris 2023,EUR,1.46,,,,,0,,,,,0,,,,,0,0.57,0.63,0.6,0.6,2
Sticker | zont1x (Glitter) | Shanghai 2024,EUR,0.15,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,2,0.02,0.03,0.02,0.02,22,0.02,0.19,0.05,0.02,131
Sticker | Primaris Keychain,EUR,0.31,,,,,0,0.3,0.31,0.3,0.3,6,0.28,0.31,0.3,0.3,13,0.28,0.44,0.32,0.3,25
MP5-SD | Necro Jr. (Battle-Scarred),EUR,0.02,,,,,0,0.02,0.04,0.04,0.04,9,0.02,0.05,0.04,0.04,104,0.02,0.06,0.04,0.04,232
Sealed Graffiti | Dead Now (Brick Red),EUR,0.16,,,,,0,0.16,0.16,0.16,0.16,1,0.13,0.16,0.15,0.14,2,0.12,0.16,0.14,0.13,4
Sealed Graffiti | OMG (Bazooka Pink),EUR,3.55,,,,,0,0.3,0.47,0.37,0.3,5,0.2,0.47,0.34,0.3,6,0.2,0.47,0.34,0.3,6
USP-S | Stainless (Battle-Scarred),EUR,4.12,3.81,4.02,3.92,3.92,2,3.13,4.06,3.64,3.76,10,3.1,13.52,4.58,3.81,24,3.1,35.67,5.02,4.45,83
Souvenir PP-Bizon | Urban Dashed (Minimal Wear),EUR,0.77,,,,,0,,,,,0,0.51,0.51,0.51,0.51,1,0.51,3.05,1.38,1.1,7
Sticker | FL1T (Gold) | Berlin 2019,EUR,12,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ MP9 | Deadly Poison (Battle-Scarred),EUR,0.54,,,,,0,0.64,0.64,0.64,0.64,1,0.64,0.66,0.65,0.65,2,0.64,1.43,1.01,0.93,19
AUG | Wings (Minimal Wear),EUR,22.67,,,,,0,21.68,21.81,21.75,21.76,3,21.43,23.72,22.33,21.81,7,18.16,23.72,20.64,20.26,24
StatTrak™ XM1014 | Watchdog (Field-Tested),EUR,3.45,,,,,0,2.3,3.79,3.28,3.51,4,2.25,4.06,2.98,3.15,13,1.92,4.75,2.83,2.6,49
StatTrak™ AK-47 | Legion of Anubis (Field-Tested),EUR,15.64,14.23,15.95,15.22,15.48,3,14.23,20.67,16.42,16.21,25,14.21,22,17.17,16.95,87,14.21,28.32,18.32,17.91,280
Sealed Graffiti | BIG | Boston 2018,EUR,1.48,,,,,0,,,,,0,,,,,0,0.73,0.73,0.73,0.73,2
Souvenir PP-Bizon | Night Ops (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
AUG | Snake Pit (Well-Worn),EUR,0.02,,,,,0,,,,,0,0.02,0.03,0.02,0.02,5,0.02,0.03,0.02,0.02,12
★ Hand Wraps | Constrictor (Minimal Wear),EUR,130.03,,,,,0,130.38,133.88,132.13,132.13,2,124.88,185,140.62,135.08,10,113.28,185,136.25,133.88,37
Sticker | Spiidi | Cologne 2015,EUR,6.48,,,,,0,,,,,0,,,,,0,3.94,5.49,4.67,4.57,3
CZ75-Auto | Slalom (Field-Tested),EUR,3.81,,,,,0,2.85,3.81,3.3,3.26,4,2.32,7,3.58,3.29,37,2.32,9,4.86,4.5,148
Sticker | Aleksib (Foil) | Austin 2025,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ Desert Eagle | Mecha Industries (Battle-Scarred),EUR,10.97,9.3,9.3,9.3,9.3,1,9.3,9.55,9.43,9.42,2,8.09,12.98,9.87,9.3,7,8.09,12.98,9.65,9.4,15
AWP | POP AWP (Factory New),EUR,9.7,8.24,11.69,9.48,8.51,3,7.79,43.42,11.83,9.49,30,6.97,43.42,10.42,9.49,77,6.97,87.54,9.99,8.89,215
Sticker | Edward (Foil) | Boston 2018,EUR,6.45,,,,,0,,,,,0,,,,,0,,,,,0
★ Survival Knife | Boreal Forest (Factory New),EUR,299,,,,,0,,,,,0,110,110,110,110,1,110,110,110,110,1
Nova | Windblown (Field-Tested),EUR,0.16,0.15,0.15,0.15,0.15,2,0.15,0.2,0.17,0.17,13,0.13,0.21,0.17,0.17,65,0.13,0.3,0.17,0.17,347
★ StatTrak™ Huntsman Knife | Ultraviolet (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Patch | Heroic | Stockholm 2021,EUR,2.35,,,,,0,,,,,0,1.69,3.98,2.48,2.48,8,1.69,3.98,2.27,2.34,39
SSG 08 | Grey Smoke (Field-Tested),EUR,0.53,0.02,0.03,0.03,0.02,2,0.02,0.04,0.03,0.03,16,0.02,0.27,0.04,0.03,69,0.02,0.29,0.04,0.03,115
StatTrak™ Dual Berettas | Flora Carnivora (Battle-Scarred),EUR,0.55,,,,,0,0.52,0.55,0.53,0.52,4,0.42,5,0.84,0.56,20,0.42,5,0.74,0.65,64
Sticker | bLitz (Glitter) | Rio 2022,EUR,0.19,,,,,0,,,,,0,,,,,0,0.05,0.05,0.05,0.05,1
Glock-18 | Weasel (Factory New),EUR,2.46,2.47,2.47,2.47,2.47,1,2.04,5.49,2.74,2.47,8,2,5.49,2.51,2.47,30,2,8.17,2.75,2.54,93
★ Skeleton Knife | Crimson Web (Field-Tested),EUR,600,,,,,0,575,630.78,610.66,614.64,6,492.65,692.07,607.6,611.63,20,492.65,750,595.68,589.85,58
Sticker | SAW | Copenhagen 2024,EUR,0.33,,,,,0,0.16,0.39,0.24,0.18,43,0.12,0.6,0.26,0.24,269,0.09,0.6,0.23,0.24,874
★ Bloodhound Gloves | Charred (Minimal Wear),EUR,240,229,229,229,229,1,195.65,240.67,221.77,229,3,195.65,329.47,233.81,230.67,14,165,344.99,223.44,219.42,37
StatTrak™ R8 Revolver | Memento (Minimal Wear),EUR,2.16,,,,,0,,,,,0,1.51,2.59,2.17,2.19,8,1.51,2.59,2.12,2.03,18
AK-47 | Legion of Anubis (Minimal Wear),EUR,7.03,6.19,15,8.24,7.72,16,5.2,24.9,7.86,7.79,134,5.2,24.9,7.92,8.06,519,5.2,24.9,8.85,8.48,1603
UMP-45 | Gunsmoke (Field-Tested),EUR,0.1,,,,,0,0.07,0.14,0.09,0.09,51,0.06,0.14,0.08,0.07,162,0.03,0.14,0.06,0.06,534
StatTrak™ MAC-10 | Heat (Well-Worn),EUR,5.97,,,,,0,7.14,7.14,7.14,7.14,1,4.05,7.17,5.32,4.94,10,4,162.39,9.21,4.82,41
MP9 | Setting Sun (Minimal Wear),EUR,8.7,,,,,0,7.55,10.73,8.73,8.4,6,5.98,12.08,8.21,8.34,22,5.98,13.42,9.11,8.99,51
P250 | Small Game (Field-Tested),EUR,0.47,0.42,0.43,0.43,0.42,2,0.42,0.59,0.47,0.44,13,0.36,0.83,0.5,0.46,157,0.3,1.72,0.54,0.5,582
Sealed Graffiti | Chess King (War Pig Pink),EUR,0.02,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,3,0.02,0.02,0.02,0.02,8,0.02,0.02,0.02,0.02,22
UMP-45 | Scaffold (Factory New),EUR,3.49,3.17,3.17,3.17,3.17,1,3.17,7.25,5.21,5.21,2,2.26,24.97,4.71,3.06,15,2.26,24.97,3.83,2.98,33
Sticker | Drukhari 1,EUR,0.46,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ MAG-7 | Insomnia (Field-Tested),EUR,0.09,0.09,0.09,0.09,0.09,2,0.09,1.18,0.28,0.1,6,0.08,1.42,0.16,0.1,42,0.08,1.42,0.13,0.11,128
★ Karambit | Forest DDPAT (Battle-Scarred),EUR,758.46,,,,,0,,,,,0,517.4,517.4,517.4,517.4,1,517.4,571.11,547.97,562.72,5
USP-S | Overgrowth (Well-Worn),EUR,25.49,,,,,0,100,100,100,100,1,16.59,100,45.31,19.33,3,16.59,100,33.15,19.53,7
Sticker | IHC Esports | Antwerp 2022,EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,196,0.02,0.02,0.02,0.02,215
The Elite Mr. Muhlik | Elite Crew,EUR,6.96,5.86,7.47,6.75,6.72,12,5.45,7.49,6.74,6.81,83,5.45,20.02,6.81,6.78,379,4.29,25,6.92,6.74,1162
★ Hand Wraps | CAUTION! (Field-Tested),EUR,211.44,211.44,229.56,220.5,220.5,2,197.89,320,243.9,238.51,18,191.14,320,239.69,231.86,76,176.48,320,238.28,233.97,202
★ StatTrak™ Falchion Knife | Lore (Well-Worn),EUR,340.17,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | MAJ3R (Foil) | Boston 2018,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
★ Bayonet | Boreal Forest (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
P2000 | Acid Etched (Factory New),EUR,2.29,,,,,0,3.03,3.03,3.03,3.03,1,1.74,5.94,2.46,2.13,19,1.5,5.94,2.39,2.1,62
Sticker | FlameZ | Austin 2025,EUR,,,,,,0,0.04,0.2,0.12,0.12,2,0.04,0.2,0.12,0.12,2,0.04,0.2,0.12,0.12,2
★ Bayonet | Fade (Factory New),EUR,711.33,,,,,0,617.22,754.49,658.87,647.14,6,599,1017.46,686.19,660.61,25,540.81,1017.46,683.84,657.39,72
Sticker | misutaaa (Glitter) | Antwerp 2022,EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.09,0.03,0.02,8
Sticker | Plopski (Glitter) | Antwerp 2022,EUR,0.15,,,,,0,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.03,0.03,0.03,3
StatTrak™ Dual Berettas | Shred (Minimal Wear),EUR,0.61,,,,,0,0.64,0.79,0.7,0.67,3,0.55,0.93,0.74,0.8,16,0.55,0.99,0.73,0.7,71
Sticker | Global Elite,EUR,0.55,,,,,0,0.26,0.55,0.39,0.37,5,0.26,0.65,0.43,0.38,21,0.26,2,0.5,0.38,56
Sticker | dephh (Foil) | London 2018,EUR,4.49,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Snappi (Holo) | Rio 2022,EUR,,,,,,0,,,,,0,,,,,0,0.42,5.86,2.06,0.58,5
Sticker | Immortals (Foil) | Krakow 2017,EUR,37.78,,,,,0,,,,,0,30,37.62,35.72,37.62,4,30,37.62,35.72,37.62,4
Sticker | Techno4K (Glitter) | Copenhagen 2024,EUR,0.11,,,,,0,,,,,0,0.03,0.03,0.03,0.03,2,0.02,0.03,0.03,0.03,16
★ StatTrak™ Gut Knife | Scorched (Battle-Scarred),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Desert Eagle | The Bronze (Factory New),EUR,4.5,4.51,5.29,4.9,4.9,2,3.96,7,4.77,4.51,10,3.96,7,4.55,4.51,42,3,10,4.35,4.38,160
Sticker | mousesports (Holo) | Katowice 2014,EUR,8321.2,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | hardzao (Holo) | Paris 2023,EUR,0.28,,,,,0,,,,,0,0.17,0.18,0.18,0.18,2,0.12,0.32,0.17,0.15,6
Sealed Graffiti | NT (SWAT Blue),EUR,3.26,,,,,0,,,,,0,0.07,0.07,0.07,0.07,1,0.07,0.17,0.13,0.14,4
★ StatTrak™ Shadow Daggers | Black Laminate (Minimal Wear),EUR,143.55,,,,,0,103.02,103.02,103.02,103.02,1,85.33,116.65,101.67,103.02,3,85.33,116.65,101.43,101.77,7
★ Falchion Knife | Scorched (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Nova | Antique (Minimal Wear),EUR,8.62,,,,,0,8,11.23,9.02,8.95,10,8,13.32,9.27,8.92,26,7.85,16.82,9.46,9,75
Sticker | KrizzeN | Boston 2018,EUR,13.12,,,,,0,0.87,0.87,0.87,0.87,1,0.87,0.87,0.87,0.87,1,0.87,0.87,0.87,0.87,1
P250 | Drought (Factory New),EUR,0.53,0.41,0.53,0.47,0.47,4,0.4,0.59,0.5,0.53,16,0.36,1.65,0.63,0.54,45,0.36,1.65,0.6,0.56,106
Sticker | broky (Glitter) | Copenhagen 2024,EUR,0.25,,,,,0,0.04,0.25,0.19,0.19,27,0.03,0.25,0.17,0.19,33,0.02,0.25,0.13,0.15,56
Sticker | JT (Holo) | Copenhagen 2024,EUR,0.84,,,,,0,,,,,0,0.31,0.41,0.34,0.32,4,0.25,0.89,0.56,0.58,10
★ StatTrak™ Paracord Knife | Crimson Web (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,158.49,158.49,158.49,158.49,1
★ Navaja Knife | Ultraviolet (Minimal Wear),EUR,108.32,,,,,0,,,,,0,109.99,123.14,115.22,113.1,6,100,138.46,117.11,114.04,20
Sticker | F1KU (Holo) | Rio 2022,EUR,1.89,,,,,0,,,,,0,,,,,0,0.74,0.74,0.74,0.74,1
Sticker | First Blood (Holo),EUR,2.41,2.35,2.45,2.4,2.4,2,2.28,2.45,2.33,2.31,11,1.75,2.59,2.3,2.36,45,1.75,4.36,2.57,2.39,83
Nova | Forest Leaves (Factory New),EUR,49,,,,,0,,,,,0,,,,,0,18.18,18.18,18.18,18.18,1
AUG | Luxe Trim (Factory New),EUR,1.19,1.19,1.19,1.19,1.19,1,0.72,1.19,0.86,0.76,4,0.45,1.5,0.66,0.59,33,0.42,6,0.81,0.65,149
Tec-9 | Groundwater (Well-Worn),EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,0.02,14,0.02,0.02,0.02,0.02,31
★ Paracord Knife | Forest DDPAT (Battle-Scarred),EUR,95.77,,,,,0,106.82,106.82,106.82,106.82,1,106.82,106.82,106.82,106.82,1,90.37,107.89,102.72,106.32,4
Nova | Forest Leaves (Battle-Scarred),EUR,19.99,,,,,0,1.77,1.98,1.88,1.88,2,1.77,1.98,1.88,1.88,2,1.77,1.98,1.88,1.88,2
